file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client-admin-api\src\main\java\org\apache\pulsar\client\admin\Source.java,org.apache.pulsar.client.admin.Source,interface,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\test\java\org\apache\pulsar\broker\loadbalance\ModularLoadManagerStrategyTest.java,org.apache.pulsar.broker.loadbalance.ModularLoadManagerStrategyTest,class,14,15,1,14,11,1,0,52,36,0.0,0.0,0.0,9,0,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,35,230,2,2,0,0,4,98,81,78,6,62,1,0,0,0,72,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-common\src\main\java\org\apache\pulsar\common\util\collections\ConcurrentLongLongPairHashMap.java,org.apache.pulsar.common.util.collections.ConcurrentLongLongPairHashMap$LongLongPairPredicate,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\tests\integration\src\test\java\org\apache\pulsar\tests\integration\containers\HdfsContainer.java,org.apache.pulsar.tests.integration.containers.HdfsContainer,class,3,4,1,3,3,3,0,7,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,3,1,1,0,1,3,0,0,19,1,0,0,0,0,3,11,3,1,4,1,0,0,1,24,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client-admin-api\src\main\java\org\apache\pulsar\common\policies\data\EntryFilters.java,org.apache.pulsar.common.policies.data.EntryFilters,class,3,8,5,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client-v5\src\test\java\org\apache\pulsar\client\impl\v5\SchemaFactoryTest.java,org.apache.pulsar.client.impl.v5.SchemaFactoryTest,class,13,14,1,13,7,1,0,31,19,0.71428573,0.0,0.0,7,1,6,1,0,0,6,0,0,0,1,1,0,1,0,0,1,0,11,68,1,0,0,0,1,23,5,14,0,14,0,1,0,0,67,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-functions\worker\src\main\java\org\apache\pulsar\functions\worker\SchedulerManager.java,org.apache.pulsar.functions.worker.SchedulerManager$SchedulerStats,innerclass,3,3,0,3,14,1,0,27,0,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,5,86,2,4,2,1,0,1,5,23,0,20,3,0,1,0,36,10,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-client-admin-api\src\main\java\org\apache\pulsar\common\policies\data\BrokerStatus.java,org.apache.pulsar.common.policies.data.BrokerStatus,interface,4,9,5,4,4,1,0,1,6,0.0,0.0,0.0,4,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerTest.java,org.apache.bookkeeper.mledger.impl.ManagedLedgerTest$Anonymous30,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerTest.java,org.apache.bookkeeper.mledger.impl.ManagedLedgerTest$Anonymous31,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerTest.java,org.apache.bookkeeper.mledger.impl.ManagedLedgerTest$Anonymous32,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerTest.java,org.apache.bookkeeper.mledger.impl.ManagedLedgerTest$Anonymous33,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,1,0,0,0,1,0,0,1,6,-1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerTest.java,org.apache.bookkeeper.mledger.impl.ManagedLedgerTest$Anonymous34,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\pulsar-broker\src\main\java\org\apache\pulsar\broker\namespace\OwnershipCache.java,org.apache.pulsar.broker.namespace.OwnershipCache$OwnedServiceUnitCacheLoader,innerclass,4,4,0,4,1,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,0,2,0,0,0,1,2,0,0,2,18,2,1
C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\pulsar\managed-ledger\src\test\java\org\apache\bookkeeper\mledger\impl\ManagedLedgerTest.java,org.apache.bookkeeper.mledger.impl.ManagedLedgerTest$Anonymous35,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
