Problem,Package,File,Priority,Line,Description,Rule set,Rule
2,org.mockito.internal.matchers.apachecommons,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\matchers\apachecommons\EqualsBuilder.java,3,78,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,org.mockito.internal.matchers.apachecommons,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\matchers\apachecommons\EqualsBuilder.java,3,223,"The method 'reflectionEquals(Object, Object, boolean, Class<?>, String[])' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
4,org.mockito.internal.matchers.apachecommons,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\matchers\apachecommons\EqualsBuilder.java,3,283,"The method 'reflectionAppend(Object, Object, Class<?>, EqualsBuilder, boolean, String[])' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
5,org.mockito.internal.matchers.apachecommons,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\matchers\apachecommons\EqualsBuilder.java,3,341,"The method 'append(Object, Object)' has a cyclomatic complexity of 17.",Design,CyclomaticComplexity
1,org.mockito.internal.matchers.text,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\matchers\text\ValuePrinter.java,3,23,The method 'print(Object)' has a cyclomatic complexity of 12.,Design,CyclomaticComplexity
1,org.mockito.internal.progress,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\progress\MockingProgress.java,3,16,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.progress,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\progress\MockingProgressImpl.java,3,30,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.stubbing,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\stubbing\InvocationContainerImpl.java,3,29,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.stubbing.answers,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\stubbing\answers\AnswerFunctionalInterfaces.java,3,29,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.stubbing.answers,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\stubbing\answers\Returns.java,3,32,The method 'validateFor(InvocationOnMock)' has a cyclomatic complexity of 10.,Design,CyclomaticComplexity
1,org.mockito.internal.stubbing.defaultanswers,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\stubbing\defaultanswers\ReturnsEmptyValues.java,3,113,The method 'returnValueFor(Class<?>)' has a cyclomatic complexity of 27.,Design,CyclomaticComplexity
1,org.mockito.internal.util,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\util\MockUtil.java,3,5,A value of 22 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.mockito.internal.util,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\util\MockUtil.java,3,30,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.util.collections,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\util\collections\HashCodeAndEqualsSafeSet.java,3,32,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
