project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
mockito,org/mockito/MockSettings,MockSettings,dataset/projects/mockito/mockito-core/src/main/java/org/mockito/MockSettings.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/Mockito,Mockito,dataset/projects/mockito/mockito-core/src/main/java/org/mockito/Mockito.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/MockitoTest.java,1,4,1,5,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mockito,org/mockito/MockitoClear,MockitoClear,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/MockitoClearTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mockito,org/mockito/MockitoEnv,MockitoEnv,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/MockitoEnvTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/NestedParallel,NestedParallel,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-integration-tests/junit-jupiter-parallel-tests/src/test/java/org/mockito/NestedParallelTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mockito,org/mockito/ParallelBug,ParallelBug,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-integration-tests/junit-jupiter-parallel-tests/src/test/java/org/mockito/ParallelBugTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mockito,org/mockito/PrematureGarbageCollection,PrematureGarbageCollection,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/PrematureGarbageCollectionTest.java,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
mockito,org/mockito/ProgrammaticMockMaker,ProgrammaticMockMaker,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-integration-tests/programmatic-tests/src/test/java/org/mockito/ProgrammaticMockMakerTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/StaticMockingExperiment,StaticMockingExperiment,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/StaticMockingExperimentTest.java,0,0,1,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
mockito,org/mockito/errorprone/bugpatterns/AbstractMockitoAnyForPrimitiveType,AbstractMockitoAnyForPrimitiveType,dataset/projects/mockito/mockito-extensions/mockito-errorprone/src/main/java/org/mockito/errorprone/bugpatterns/AbstractMockitoAnyForPrimitiveType.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/errorprone/bugpatterns/MockitoAnyClassWithPrimitiveType,MockitoAnyClassWithPrimitiveType,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-extensions/mockito-errorprone/src/test/java/org/mockito/errorprone/bugpatterns/MockitoAnyClassWithPrimitiveTypeTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mockito,org/mockito/errorprone/bugpatterns/MockitoAnyIncorrectPrimitiveType,MockitoAnyIncorrectPrimitiveType,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-extensions/mockito-errorprone/src/test/java/org/mockito/errorprone/bugpatterns/MockitoAnyIncorrectPrimitiveTypeTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mockito,org/mockito/errorprone/bugpatterns/MockitoInternalUsage,MockitoInternalUsage,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-extensions/mockito-errorprone/src/test/java/org/mockito/errorprone/bugpatterns/MockitoInternalUsageTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mockito,org/mockito/errorprone/bugpatterns/MockitoNotExtensible,MockitoNotExtensible,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-extensions/mockito-errorprone/src/test/java/org/mockito/errorprone/bugpatterns/MockitoNotExtensibleTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mockito,org/mockito/exceptions/base/MockitoAssertionError,MockitoAssertionError,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/exceptions/base/MockitoAssertionErrorTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/exceptions/base/MockitoException,MockitoException,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/exceptions/base/MockitoExceptionTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/exceptions/base/MockitoSerializationIssue,MockitoSerializationIssue,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/exceptions/base/MockitoSerializationIssueTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/exceptions/stacktrace/StackTraceCleaner,StackTraceCleaner,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/exceptions/stacktrace/StackTraceCleanerTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/graalvm/GraalVMSubclassMockMaker,GraalVMSubclassMockMaker,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-integration-tests/graalvm-tests/src/test/java/org/mockito/graalvm/GraalVMSubclassMockMakerTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/hamcrest/MockitoHamcrest,MockitoHamcrest,dataset/projects/mockito/mockito-core/src/main/java/org/mockito/hamcrest/MockitoHamcrest.java,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/AllInvocationsFinder,AllInvocationsFinder,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/AllInvocationsFinderTest.java,0,0,1,7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
