project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
spring-boot,boot/artemis/testcontainers/ArtemisContainerConnectionDetailsFactoryIntegration,ArtemisContainerConnectionDetailsFactoryIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-artemis/src/dockerTest/java/org/springframework/boot/artemis/testcontainers/ArtemisContainerConnectionDetailsFactoryIntegrationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
spring-boot,boot/autoconfigure/jndi/ableInitialContextFactory,ableInitialContextFactory,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/core/spring-boot-autoconfigure/src/testFixtures/java/org/springframework/boot/autoconfigure/jndi/TestableInitialContextFactory.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/cache/metrics/RedisCacheMetrics,RedisCacheMetrics,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-cache/src/dockerTest/java/org/springframework/boot/cache/metrics/RedisCacheMetricsTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/cassandra/autoconfigure/CassandraAutoConfigurationIntegration,CassandraAutoConfigurationIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-cassandra/src/dockerTest/java/org/springframework/boot/cassandra/autoconfigure/CassandraAutoConfigurationIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/cassandra/autoconfigure/CassandraAutoConfigurationWithPasswordAuthenticationIntegration,CassandraAutoConfigurationWithPasswordAuthenticationIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-cassandra/src/dockerTest/java/org/springframework/boot/cassandra/autoconfigure/CassandraAutoConfigurationWithPasswordAuthenticationIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/cassandra/testcontainers/CassandraContainerConnectionDetailsFactory,CassandraContainerConnectionDetailsFactory,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-cassandra/src/dockerTest/java/org/springframework/boot/cassandra/testcontainers/CassandraContainerConnectionDetailsFactoryTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/context/embedded/EmbeddedServletContainerJarDevelopmentIntegration,EmbeddedServletContainerJarDevelopmentIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/integration-test/spring-boot-server-integration-tests/src/intTest/java/org/springframework/boot/context/embedded/EmbeddedServletContainerJarDevelopmentIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/context/embedded/EmbeddedServletContainerJarPackagingIntegration,EmbeddedServletContainerJarPackagingIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/integration-test/spring-boot-server-integration-tests/src/intTest/java/org/springframework/boot/context/embedded/EmbeddedServletContainerJarPackagingIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/context/embedded/EmbeddedServletContainerWarDevelopmentIntegration,EmbeddedServletContainerWarDevelopmentIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/integration-test/spring-boot-server-integration-tests/src/intTest/java/org/springframework/boot/context/embedded/EmbeddedServletContainerWarDevelopmentIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/context/embedded/EmbeddedServletContainerWarPackagingIntegration,EmbeddedServletContainerWarPackagingIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/integration-test/spring-boot-server-integration-tests/src/intTest/java/org/springframework/boot/context/embedded/EmbeddedServletContainerWarPackagingIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/couchbase/autoconfigure/CouchbaseAutoConfigurationIntegration,CouchbaseAutoConfigurationIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-couchbase/src/dockerTest/java/org/springframework/boot/couchbase/autoconfigure/CouchbaseAutoConfigurationIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/couchbase/testcontainers/CouchbaseContainerConnectionDetailsFactory,CouchbaseContainerConnectionDetailsFactory,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-couchbase/src/dockerTest/java/org/springframework/boot/couchbase/testcontainers/CouchbaseContainerConnectionDetailsFactoryTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/devtools/tests/AbstractDevToolsIntegration,AbstractDevToolsIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-devtools/src/intTest/java/org/springframework/boot/devtools/tests/AbstractDevToolsIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/devtools/tests/DevToolsIntegration,DevToolsIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-devtools/src/intTest/java/org/springframework/boot/devtools/tests/DevToolsIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/devtools/tests/DevToolsWithLazyInitializationIntegration,DevToolsWithLazyInitializationIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-devtools/src/intTest/java/org/springframework/boot/devtools/tests/DevToolsWithLazyInitializationIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-boot,boot/elasticsearch/autoconfigure/ElasticsearchClientAutoConfigurationIntegration,ElasticsearchClientAutoConfigurationIntegration,,C:/Users/largu/Documents/Vietnam/dataset/projects/spring-boot/module/spring-boot-elasticsearch/src/dockerTest/java/org/springframework/boot/elasticsearch/autoconfigure/ElasticsearchClientAutoConfigurationIntegrationTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
